Country Name,Country Code,Year,Year Code,"Community health workers (per 1,000 people) [SH.MED.CMHW.P3]","Hospital beds (per 1,000 people) [SH.MED.BEDS.ZS]","Number of surgical procedures (per 100,000 population) [SH.SGR.PROC.P5]","Nurses and midwives (per 1,000 people) [SH.MED.NUMW.P3]","Physicians (per 1,000 people) [SH.MED.PHYS.ZS]","Specialist surgical workforce (per 100,000 population) [SH.MED.SAOP.P5]"
Cayman Islands,CYM,2017,YR2017,..,..,..,..,..,..
Cayman Islands,CYM,2018,YR2018,..,..,..,..,..,..
Cayman Islands,CYM,2019,YR2019,..,..,..,..,..,..
Central African Republic,CAF,2017,YR2017,..,..,..,..,..,..
Central African Republic,CAF,2018,YR2018,..,..,..,..,..,..
Central African Republic,CAF,2019,YR2019,..,..,..,..,..,..
Central Europe and the Baltics,CEB,2017,YR2017,..,6.593183615,..,..,3.130909392,..
Central Europe and the Baltics,CEB,2018,YR2018,..,6.422667075,..,7.165563133,..,..
Central Europe and the Baltics,CEB,2019,YR2019,..,..,..,..,..,..
Chad,TCD,2017,YR2017,..,..,..,0.2322,0.0434,..
Chad,TCD,2018,YR2018,..,..,..,..,..,..
Chad,TCD,2019,YR2019,..,..,..,..,..,..
Channel Islands,CHI,2017,YR2017,..,..,..,..,..,..
Channel Islands,CHI,2018,YR2018,..,..,..,..,..,..
Channel Islands,CHI,2019,YR2019,..,..,..,..,..,..
Chile,CHL,2017,YR2017,..,2.11,..,12.1372,2.4411,..
Chile,CHL,2018,YR2018,..,2.06,..,13.3248,2.5912,..
Chile,CHL,2019,YR2019,..,..,..,..,..,..
China,CHN,2017,YR2017,..,4.31,..,2.6621,1.9798,..
China,CHN,2018,YR2018,..,..,..,..,..,..
China,CHN,2019,YR2019,..,..,..,..,..,..
Colombia,COL,2017,YR2017,..,1.7,..,1.2714,2.1064,..
Colombia,COL,2018,YR2018,..,1.71,..,1.3309,2.1848,..
Colombia,COL,2019,YR2019,..,..,..,..,..,..
Comoros,COM,2017,YR2017,..,..,..,..,..,..
Comoros,COM,2018,YR2018,..,..,..,..,..,..
Comoros,COM,2019,YR2019,..,..,..,..,..,..
"Congo, Dem. Rep.",COD,2017,YR2017,..,..,..,0.8974,..,..
"Congo, Dem. Rep.",COD,2018,YR2018,..,..,..,1.1101,..,..
"Congo, Dem. Rep.",COD,2019,YR2019,..,..,..,..,..,..
"Congo, Rep.",COG,2017,YR2017,..,..,..,..,..,..
"Congo, Rep.",COG,2018,YR2018,..,..,..,0.6271,..,..
"Congo, Rep.",COG,2019,YR2019,..,..,..,..,..,..
Costa Rica,CRI,2017,YR2017,..,1.14,..,3.1798,2.9533,..
Costa Rica,CRI,2018,YR2018,..,1.11,..,3.4144,2.8939,25.46
Costa Rica,CRI,2019,YR2019,..,1.1,..,..,..,..
Cote d'Ivoire,CIV,2017,YR2017,..,..,..,0.5558,..,..
Cote d'Ivoire,CIV,2018,YR2018,..,..,..,0.6048,..,..
Cote d'Ivoire,CIV,2019,YR2019,..,..,..,..,..,..
Croatia,HRV,2017,YR2017,..,5.54,..,..,..,..
Croatia,HRV,2018,YR2018,..,..,..,..,..,..
Croatia,HRV,2019,YR2019,..,..,..,..,..,..
Cuba,CUB,2017,YR2017,..,5.33,..,7.7286,8.295,100.89
Cuba,CUB,2018,YR2018,..,..,..,7.5614,8.4218,..
Cuba,CUB,2019,YR2019,..,..,..,..,..,..
Curacao,CUW,2017,YR2017,..,..,..,..,..,..
Curacao,CUW,2018,YR2018,..,..,..,..,..,..
Curacao,CUW,2019,YR2019,..,..,..,..,..,..
Cyprus,CYP,2017,YR2017,..,3.4,..,..,..,..
Cyprus,CYP,2018,YR2018,..,..,..,..,..,84.42
Cyprus,CYP,2019,YR2019,..,..,..,..,..,..
Czech Republic,CZE,2017,YR2017,..,6.63,..,8.3955,4.0676,..
Czech Republic,CZE,2018,YR2018,..,6.62,..,..,4.1208,..
Czech Republic,CZE,2019,YR2019,..,..,..,..,..,..
Denmark,DNK,2017,YR2017,..,2.61,..,..,..,..
Denmark,DNK,2018,YR2018,..,2.43,..,..,..,..
Denmark,DNK,2019,YR2019,..,2.6,..,..,..,..
Djibouti,DJI,2017,YR2017,..,1.4,..,..,..,..
Djibouti,DJI,2018,YR2018,..,..,..,..,..,..
Djibouti,DJI,2019,YR2019,..,..,..,..,..,..
Dominica,DMA,2017,YR2017,..,..,..,6.0979,1.1189,..
Dominica,DMA,2018,YR2018,..,..,..,6.4385,..,..
Dominica,DMA,2019,YR2019,..,..,..,..,..,..
Dominican Republic,DOM,2017,YR2017,..,1.56,..,1.1697,1.56,..
Dominican Republic,DOM,2018,YR2018,..,..,..,1.3802,..,..
Dominican Republic,DOM,2019,YR2019,..,..,..,..,..,..
Early-demographic dividend,EAR,2017,YR2017,..,0.923100739,..,..,0.974025833,..
Early-demographic dividend,EAR,2018,YR2018,..,..,..,1.973770166,..,..
Early-demographic dividend,EAR,2019,YR2019,..,..,..,..,..,..
East Asia & Pacific,EAS,2017,YR2017,..,4.51462544,..,..,1.664674043,..
East Asia & Pacific,EAS,2018,YR2018,..,..,..,3.422308077,..,..
East Asia & Pacific,EAS,2019,YR2019,..,..,..,..,..,..
East Asia & Pacific (excluding high income),EAP,2017,YR2017,..,3.674986689,..,..,1.571472894,..
East Asia & Pacific (excluding high income),EAP,2018,YR2018,..,..,..,2.656439187,..,..
East Asia & Pacific (excluding high income),EAP,2019,YR2019,..,..,..,..,..,..
East Asia & Pacific (IDA & IBRD countries),TEA,2017,YR2017,..,3.674986689,..,..,1.545176517,..
East Asia & Pacific (IDA & IBRD countries),TEA,2018,YR2018,..,..,..,2.634231473,..,..
East Asia & Pacific (IDA & IBRD countries),TEA,2019,YR2019,..,..,..,..,..,..
Ecuador,ECU,2017,YR2017,..,..,..,2.8265,..,..
Ecuador,ECU,2018,YR2018,..,..,..,2.5059,..,..
Ecuador,ECU,2019,YR2019,..,..,..,..,..,..
"Egypt, Arab Rep.",EGY,2017,YR2017,..,1.43,..,1.9271,0.7993,..
"Egypt, Arab Rep.",EGY,2018,YR2018,..,..,..,1.9262,0.4521,..
"Egypt, Arab Rep.",EGY,2019,YR2019,..,..,..,..,..,..
El Salvador,SLV,2017,YR2017,..,1.2,..,1.8375,..,..
El Salvador,SLV,2018,YR2018,..,..,..,1.8344,..,..
El Salvador,SLV,2019,YR2019,..,..,..,..,..,..
Equatorial Guinea,GNQ,2017,YR2017,..,..,..,0.5024,0.4017,..
Equatorial Guinea,GNQ,2018,YR2018,..,..,..,..,..,..
Equatorial Guinea,GNQ,2019,YR2019,..,..,..,..,..,..
Eritrea,ERI,2017,YR2017,..,..,..,1.3267,..,..
Eritrea,ERI,2018,YR2018,..,..,..,1.4397,..,..
Eritrea,ERI,2019,YR2019,..,..,..,..,..,..
Estonia,EST,2017,YR2017,..,4.69,..,6.5272,3.4629,64.98
Estonia,EST,2018,YR2018,..,4.57,..,11.1558,4.4833,..
Estonia,EST,2019,YR2019,..,..,..,..,..,..
Eswatini,SWZ,2017,YR2017,..,..,..,3.9394,..,..
Eswatini,SWZ,2018,YR2018,..,..,..,4.1415,..,..
Eswatini,SWZ,2019,YR2019,..,..,..,..,..,..
Ethiopia,ETH,2017,YR2017,..,..,..,0.8286,0.0986,..
Ethiopia,ETH,2018,YR2018,..,..,..,0.7135,0.0769,..
Ethiopia,ETH,2019,YR2019,..,..,..,..,..,..
Euro area,EMU,2017,YR2017,..,5.203910665,..,..,3.933831825,..
Euro area,EMU,2018,YR2018,..,4.277151119,..,9.806297515,..,..
Euro area,EMU,2019,YR2019,..,..,..,..,..,..
Europe & Central Asia,ECS,2017,YR2017,..,5.360949525,..,..,3.441657421,..
Europe & Central Asia,ECS,2018,YR2018,..,4.713237418,..,8.322027727,..,..
Europe & Central Asia,ECS,2019,YR2019,..,..,..,..,..,..
Europe & Central Asia (excluding high income),ECA,2017,YR2017,..,..,..,..,3.187712323,..
Europe & Central Asia (excluding high income),ECA,2018,YR2018,..,..,..,6.852393233,..,..
Europe & Central Asia (excluding high income),ECA,2019,YR2019,..,..,..,..,..,..
Europe & Central Asia (IDA & IBRD countries),TEC,2017,YR2017,..,..,..,..,3.118524958,..
Europe & Central Asia (IDA & IBRD countries),TEC,2018,YR2018,..,..,..,6.867088057,..,..
Europe & Central Asia (IDA & IBRD countries),TEC,2019,YR2019,..,..,..,..,..,..
European Union,EUU,2017,YR2017,..,5.409883426,..,..,3.747585376,..
European Union,EUU,2018,YR2018,..,4.593965981,..,9.315174997,..,..
European Union,EUU,2019,YR2019,..,..,..,..,..,..
Faroe Islands,FRO,2017,YR2017,..,..,..,..,..,..
Faroe Islands,FRO,2018,YR2018,..,..,..,..,..,..
Faroe Islands,FRO,2019,YR2019,..,..,..,..,..,..
Fiji,FJI,2017,YR2017,..,..,..,..,..,..
Fiji,FJI,2018,YR2018,..,..,..,3.3752,..,5.43
Fiji,FJI,2019,YR2019,..,..,..,..,..,..
Finland,FIN,2017,YR2017,..,3.28,..,..,..,..
Finland,FIN,2018,YR2018,..,3.61,..,..,..,..
Finland,FIN,2019,YR2019,..,..,..,..,..,..
Fragile and conflict affected situations,FCS,2017,YR2017,..,..,..,..,0.37804958,..
Fragile and conflict affected situations,FCS,2018,YR2018,..,..,..,1.067507455,..,..
Fragile and conflict affected situations,FCS,2019,YR2019,..,..,..,..,..,..
France,FRA,2017,YR2017,..,5.98,..,11.162,3.2565,..
France,FRA,2018,YR2018,..,5.91,..,11.4707,3.2672,..
France,FRA,2019,YR2019,..,..,..,..,..,..
French Polynesia,PYF,2017,YR2017,..,..,..,..,..,..
French Polynesia,PYF,2018,YR2018,..,..,..,..,..,..
French Polynesia,PYF,2019,YR2019,..,..,..,..,..,..
Gabon,GAB,2017,YR2017,..,..,..,2.946,0.6819,..
Gabon,GAB,2018,YR2018,..,..,..,..,..,..
Gabon,GAB,2019,YR2019,..,..,..,..,..,..
"Gambia, The",GMB,2017,YR2017,..,..,..,..,..,..
"Gambia, The",GMB,2018,YR2018,..,..,..,..,..,..
"Gambia, The",GMB,2019,YR2019,..,..,..,..,..,..
Georgia,GEO,2017,YR2017,..,..,..,4.8564,6.1297,..
Georgia,GEO,2018,YR2018,..,..,..,4.7293,7.1201,..
Georgia,GEO,2019,YR2019,..,..,..,..,..,..
Germany,DEU,2017,YR2017,..,8,..,13.2352,4.2488,..
Germany,DEU,2018,YR2018,..,..,..,..,..,..
Germany,DEU,2019,YR2019,..,..,..,..,..,..
Ghana,GHA,2017,YR2017,..,..,..,2.3519,0.1359,..
Ghana,GHA,2018,YR2018,..,..,..,4.2001,..,..
Ghana,GHA,2019,YR2019,..,..,..,..,..,..
Gibraltar,GIB,2017,YR2017,..,..,..,..,..,..
Gibraltar,GIB,2018,YR2018,..,..,..,..,..,..
Gibraltar,GIB,2019,YR2019,..,..,..,..,..,..
Greece,GRC,2017,YR2017,..,4.21,..,3.6331,5.4789,..
Greece,GRC,2018,YR2018,..,4.2,..,..,..,..
Greece,GRC,2019,YR2019,..,..,..,..,..,..
Greenland,GRL,2017,YR2017,..,..,..,..,..,..
Greenland,GRL,2018,YR2018,..,..,..,..,..,..
Greenland,GRL,2019,YR2019,..,..,..,..,..,..
Grenada,GRD,2017,YR2017,..,3.57,..,3.0568,1.4067,..
Grenada,GRD,2018,YR2018,..,..,..,6.2837,..,12.56
Grenada,GRD,2019,YR2019,..,..,..,..,..,..
Guam,GUM,2017,YR2017,..,..,..,..,..,..
Guam,GUM,2018,YR2018,..,..,..,..,..,..
Guam,GUM,2019,YR2019,..,..,..,..,..,..
Guatemala,GTM,2017,YR2017,..,0.44,..,0.0686,..,..
Guatemala,GTM,2018,YR2018,..,..,..,0.0737,0.3549,..
Guatemala,GTM,2019,YR2019,..,..,..,..,..,..
Guinea,GIN,2017,YR2017,..,..,..,..,..,..
Guinea,GIN,2018,YR2018,..,..,..,..,..,..
Guinea,GIN,2019,YR2019,..,..,..,..,..,..
Guinea-Bissau,GNB,2017,YR2017,..,..,..,..,..,..
Guinea-Bissau,GNB,2018,YR2018,..,..,..,0.6851,..,..
Guinea-Bissau,GNB,2019,YR2019,..,..,..,..,..,..
Guyana,GUY,2017,YR2017,..,..,..,0.7869,..,..
Guyana,GUY,2018,YR2018,..,..,..,1.0398,0.8023,..
Guyana,GUY,2019,YR2019,..,..,..,..,..,..
Haiti,HTI,2017,YR2017,..,..,..,..,..,..
Haiti,HTI,2018,YR2018,..,..,..,0.6798,0.2343,..
Haiti,HTI,2019,YR2019,..,..,..,..,..,..
Heavily indebted poor countries (HIPC),HPC,2017,YR2017,..,..,..,..,0.146873455,..
Heavily indebted poor countries (HIPC),HPC,2018,YR2018,..,..,..,0.832458908,..,..
Heavily indebted poor countries (HIPC),HPC,2019,YR2019,..,..,..,..,..,..
High income,HIC,2017,YR2017,..,5.253076803,..,..,3.06812602,..
High income,HIC,2018,YR2018,..,..,..,11.00159519,..,..
High income,HIC,2019,YR2019,..,..,..,..,..,..
Honduras,HND,2017,YR2017,..,0.64,..,0.7378,0.3089,..
Honduras,HND,2018,YR2018,..,..,..,0.7357,..,..
Honduras,HND,2019,YR2019,..,..,..,..,..,..
"Hong Kong SAR, China",HKG,2017,YR2017,..,..,..,..,..,..
"Hong Kong SAR, China",HKG,2018,YR2018,..,..,..,..,..,..
"Hong Kong SAR, China",HKG,2019,YR2019,..,..,..,..,..,..
Hungary,HUN,2017,YR2017,..,7.02,..,6.8037,3.3447,55.69
Hungary,HUN,2018,YR2018,..,7.01,..,6.9157,3.4075,..
Hungary,HUN,2019,YR2019,..,..,..,..,..,..
IBRD only,IBD,2017,YR2017,..,..,..,..,..,..
IBRD only,IBD,2018,YR2018,..,..,..,..,..,..
IBRD only,IBD,2019,YR2019,..,..,..,..,..,..
Iceland,ISL,2017,YR2017,..,3.06,..,15.7087,3.9773,..
Iceland,ISL,2018,YR2018,..,2.87,..,16.2132,4.0778,..
Iceland,ISL,2019,YR2019,..,2.83,..,..,..,..
IDA & IBRD total,IBT,2017,YR2017,..,2.335113899,..,..,1.273503632,..
IDA & IBRD total,IBT,2018,YR2018,..,..,..,2.536879847,..,..
IDA & IBRD total,IBT,2019,YR2019,..,..,..,..,..,..
IDA blend,IDB,2017,YR2017,..,..,..,..,..,..
IDA blend,IDB,2018,YR2018,..,..,..,..,..,..
IDA blend,IDB,2019,YR2019,..,..,..,..,..,..
IDA only,IDX,2017,YR2017,..,..,..,..,..,..
IDA only,IDX,2018,YR2018,..,..,..,..,..,..
IDA only,IDX,2019,YR2019,..,..,..,..,..,..
IDA total,IDA,2017,YR2017,..,..,..,..,..,..
IDA total,IDA,2018,YR2018,..,..,..,..,..,..
IDA total,IDA,2019,YR2019,..,..,..,..,..,..
India,IND,2017,YR2017,..,0.53,..,2.1079,0.7779,..
India,IND,2018,YR2018,..,..,..,1.7271,0.8571,..
India,IND,2019,YR2019,..,..,..,..,..,..
Indonesia,IDN,2017,YR2017,..,1.04,..,2.0532,0.3767,..
Indonesia,IDN,2018,YR2018,..,..,..,2.4149,0.4269,..
Indonesia,IDN,2019,YR2019,..,..,..,..,..,..
"Iran, Islamic Rep.",IRN,2017,YR2017,..,1.56,..,2.6286,1.1292,..
"Iran, Islamic Rep.",IRN,2018,YR2018,..,..,..,..,1.5844,..
"Iran, Islamic Rep.",IRN,2019,YR2019,..,..,..,..,..,..
Iraq,IRQ,2017,YR2017,..,1.32,..,1.8126,0.8375,..
Iraq,IRQ,2018,YR2018,..,..,..,2.0448,0.7079,..
Iraq,IRQ,2019,YR2019,..,..,..,..,..,..
Ireland,IRL,2017,YR2017,..,2.97,..,16.0996,3.2946,..
Ireland,IRL,2018,YR2018,..,2.97,..,..,3.3125,71.97
Ireland,IRL,2019,YR2019,..,..,..,..,..,..
Isle of Man,IMN,2017,YR2017,..,..,..,..,..,..
Isle of Man,IMN,2018,YR2018,..,..,..,..,..,..
Isle of Man,IMN,2019,YR2019,..,..,..,..,..,..
Israel,ISR,2017,YR2017,..,3.02,..,5.7002,3.4783,..
Israel,ISR,2018,YR2018,..,2.98,..,..,4.6249,..
Israel,ISR,2019,YR2019,..,..,..,..,..,..
Italy,ITA,2017,YR2017,..,3.18,..,6.0605,3.9805,142.4
Italy,ITA,2018,YR2018,..,3.14,..,5.7401,3.9774,..
Italy,ITA,2019,YR2019,..,..,..,..,..,..
Jamaica,JAM,2017,YR2017,..,1.72,..,1.4674,1.3061,..
Jamaica,JAM,2018,YR2018,..,..,..,0.8068,..,..
Jamaica,JAM,2019,YR2019,..,..,..,..,..,..
Japan,JPN,2017,YR2017,..,13.05,..,..,..,..
Japan,JPN,2018,YR2018,..,12.98,..,12.1531,..,..
Japan,JPN,2019,YR2019,..,..,..,..,..,..
Jordan,JOR,2017,YR2017,..,1.47,..,3.3598,2.3237,..
Jordan,JOR,2018,YR2018,..,..,..,2.8212,..,..
Jordan,JOR,2019,YR2019,..,..,..,..,..,..
Kazakhstan,KAZ,2017,YR2017,..,..,..,..,..,..
Kazakhstan,KAZ,2018,YR2018,..,..,..,..,..,..
Kazakhstan,KAZ,2019,YR2019,..,..,..,..,..,..
Kenya,KEN,2017,YR2017,..,..,..,1.0587,..,..
Kenya,KEN,2018,YR2018,..,..,..,1.1656,0.1565,..
Kenya,KEN,2019,YR2019,..,..,..,..,..,..
Kiribati,KIR,2017,YR2017,..,..,..,..,..,..
Kiribati,KIR,2018,YR2018,..,..,..,3.8342,..,..
Kiribati,KIR,2019,YR2019,..,..,..,..,..,..
"Korea, Dem. People's Rep.",PRK,2017,YR2017,..,..,..,4.4489,3.6834,..
"Korea, Dem. People's Rep.",PRK,2018,YR2018,..,..,..,..,..,..
"Korea, Dem. People's Rep.",PRK,2019,YR2019,..,..,..,..,..,..
"Korea, Rep.",KOR,2017,YR2017,..,12.27,..,7.1203,2.3608,..
"Korea, Rep.",KOR,2018,YR2018,..,12.43,..,7.3009,..,..
"Korea, Rep.",KOR,2019,YR2019,..,..,..,..,..,..
Kosovo,XKX,2017,YR2017,..,..,..,..,..,..
Kosovo,XKX,2018,YR2018,..,..,..,..,..,..
Kosovo,XKX,2019,YR2019,..,..,..,..,..,..
Kuwait,KWT,2017,YR2017,..,2.04,..,7.3489,..,..
Kuwait,KWT,2018,YR2018,..,..,..,7.4145,..,..
Kuwait,KWT,2019,YR2019,..,..,..,..,..,..
Kyrgyz Republic,KGZ,2017,YR2017,..,..,..,..,..,..
Kyrgyz Republic,KGZ,2018,YR2018,..,..,..,..,..,..
Kyrgyz Republic,KGZ,2019,YR2019,..,..,..,..,..,..
Lao PDR,LAO,2017,YR2017,..,..,..,1.2643,0.3726,3.68
Lao PDR,LAO,2018,YR2018,..,..,..,0.9522,..,..
Lao PDR,LAO,2019,YR2019,..,..,..,..,..,..
Late-demographic dividend,LTE,2017,YR2017,..,4.18640807,..,..,2.108559126,..
Late-demographic dividend,LTE,2018,YR2018,..,..,..,4.008213714,..,..
Late-demographic dividend,LTE,2019,YR2019,..,..,..,..,..,..
Latin America & Caribbean,LCN,2017,YR2017,..,1.89947764,..,..,2.280682486,..
Latin America & Caribbean,LCN,2018,YR2018,..,..,..,5.060856267,..,..
Latin America & Caribbean,LCN,2019,YR2019,..,..,..,..,..,..
Latin America & Caribbean (excluding high income),LAC,2017,YR2017,..,1.939187472,..,..,2.24948234,..
Latin America & Caribbean (excluding high income),LAC,2018,YR2018,..,..,..,5.021746994,..,..
Latin America & Caribbean (excluding high income),LAC,2019,YR2019,..,..,..,..,..,..
