Country Name,Country Code,Year,Year Code,Consumption of iodized salt (% of households) [SN.ITK.SALT.ZS],Exclusive breastfeeding (% of children under 6 months) [SH.STA.BFED.ZS],"Infant and young child feeding practices, all 3 IYCF (% children ages 6-23 months) [SH.STA.IYCF.ZS]",Low-birthweight babies (% of births) [SH.STA.BRTW.ZS],Number of people who are undernourished [SN.ITK.DEFC],Prevalence of anemia among children (% of children ages 6-59 months) [SH.ANM.CHLD.ZS],Prevalence of anemia among non-pregnant women (% of women ages 15-49) [SH.ANM.NPRG.ZS],Prevalence of anemia among pregnant women (%) [SH.PRG.ANEM],Prevalence of anemia among women of reproductive age (% of women ages 15-49) [SH.ANM.ALLW.ZS],Prevalence of overweight (% of adults) [SH.STA.OWAD.ZS],Prevalence of overweight (% of children under 5) [SH.STA.OWGH.ZS],"Prevalence of overweight, female (% of children under 5) [SH.STA.OWGH.FE.ZS]","Prevalence of overweight, female (% of female adults) [SH.STA.OWAD.FE.ZS]","Prevalence of overweight, male (% of children under 5) [SH.STA.OWGH.MA.ZS]","Prevalence of overweight, male (% of male adults) [SH.STA.OWAD.MA.ZS]","Prevalence of severe wasting, weight for height (% of children under 5) [SH.SVR.WAST.ZS]","Prevalence of severe wasting, weight for height, female (% of children under 5) [SH.SVR.WAST.FE.ZS]","Prevalence of severe wasting, weight for height, male (% of children under 5) [SH.SVR.WAST.MA.ZS]","Prevalence of stunting, height for age (% of children under 5) [SH.STA.STNT.ZS]","Prevalence of stunting, height for age, female (% of children under 5) [SH.STA.STNT.FE.ZS]","Prevalence of stunting, height for age, male (% of children under 5) [SH.STA.STNT.MA.ZS]",Prevalence of undernourishment (% of population) [SN.ITK.DEFC.ZS],"Prevalence of underweight, weight for age (% of children under 5) [SH.STA.MALN.ZS]","Prevalence of underweight, weight for age, female (% of children under 5) [SH.STA.MALN.FE.ZS]","Prevalence of underweight, weight for age, male (% of children under 5) [SH.STA.MALN.MA.ZS]","Prevalence of wasting, weight for height (% of children under 5) [SH.STA.WAST.ZS]","Prevalence of wasting, weight for height, female (% of children under 5) [SH.STA.WAST.FE.ZS]","Prevalence of wasting, weight for height, male (% of children under 5) [SH.STA.WAST.MA.ZS]",Vitamin A supplementation coverage rate (% of children ages 6-59 months) [SN.ITK.VITA.ZS]
Chad,TCD,2018,YR2018,..,..,..,..,4700000,68,45.9,46.2,45.9,..,..,..,..,..,..,4,3.3,4.6,31.9,29.1,34.7,30.4,24.7,22.9,26.4,13.5,12.2,14.7,70
Chad,TCD,2019,YR2019,..,..,..,..,5100000,66.3,45.5,45.3,45.4,..,2.3,2.4,..,2.3,..,4.5,3.8,5.2,37.8,35.7,39.8,31.7,29.2,26.9,31.4,13.9,12.5,15.3,..
Channel Islands,CHI,2017,YR2017,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Channel Islands,CHI,2018,YR2018,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Channel Islands,CHI,2019,YR2019,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,2017,YR2017,..,..,..,..,600000,19.5,7.9,19.3,8.3,..,..,..,..,..,..,..,..,..,..,..,..,3,..,..,..,..,..,..,..
Chile,CHL,2018,YR2018,..,..,..,..,600000,19.7,8.1,19.3,8.5,..,..,..,..,..,..,..,..,..,..,..,..,3,..,..,..,..,..,..,..
Chile,CHL,2019,YR2019,..,..,..,..,600000,20.1,8.4,19.4,8.7,..,..,..,..,..,..,..,..,..,..,..,..,3.4,..,..,..,..,..,..,..
China,CHN,2017,YR2017,..,..,..,..,..,18.4,15.1,18.8,15.2,..,8.5,..,..,..,..,..,..,..,4.8,..,..,2.5,..,..,..,1.9,..,..,..
China,CHN,2018,YR2018,..,..,..,..,..,18.5,15.2,18.6,15.3,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
China,CHN,2019,YR2019,..,..,..,..,..,18.8,15.4,18.5,15.5,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Colombia,COL,2017,YR2017,..,..,..,..,3500000,22.5,20.9,22.3,20.9,..,..,..,..,..,..,..,..,..,..,..,..,7.1,..,..,..,..,..,..,..
Colombia,COL,2018,YR2018,..,..,..,..,3900000,22.3,20.9,22,21,..,..,..,..,..,..,..,..,..,..,..,..,7.9,..,..,..,..,..,..,..
Colombia,COL,2019,YR2019,..,..,..,..,4400000,22.2,21.1,21.8,21.2,..,..,..,..,..,..,..,..,..,..,..,..,8.8,..,..,..,..,..,..,..
Comoros,COM,2017,YR2017,..,..,..,..,..,53.9,32.9,38.1,33.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21
Comoros,COM,2018,YR2018,..,..,..,..,..,53.9,33.1,38.1,33.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11
Comoros,COM,2019,YR2019,..,..,..,..,..,53.9,33.5,38,33.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Congo, Dem. Rep.",COD,2017,YR2017,..,..,..,..,32700000,66.3,42.4,47.5,43,..,3.8,3.8,..,3.8,..,2,2,2.1,41.8,38.2,45.6,40.2,23.1,20.4,25.8,6.4,5.8,7.1,1
"Congo, Dem. Rep.",COD,2018,YR2018,..,..,..,..,34000000,65.6,42.1,46.9,42.6,..,..,..,..,..,..,..,..,..,..,..,..,40.4,..,..,..,..,..,..,78
"Congo, Dem. Rep.",COD,2019,YR2019,..,..,..,..,36200000,64.9,41.9,46.5,42.4,..,..,..,..,..,..,..,..,..,..,..,..,41.7,..,..,..,..,..,..,..
"Congo, Rep.",COG,2017,YR2017,..,..,..,..,1800000,62.3,49.6,51.7,49.8,..,..,..,..,..,..,..,..,..,..,..,..,36,..,..,..,..,..,..,12
"Congo, Rep.",COG,2018,YR2018,..,..,..,..,1900000,61.6,49,51.3,49.2,..,..,..,..,..,..,..,..,..,..,..,..,36.8,..,..,..,..,..,..,8
"Congo, Rep.",COG,2019,YR2019,..,..,..,..,2000000,60.8,48.7,51,48.8,..,..,..,..,..,..,..,..,..,..,..,..,37.7,..,..,..,..,..,..,..
Costa Rica,CRI,2017,YR2017,..,..,..,..,200000,18.7,12.9,17.3,13,..,..,..,..,..,..,..,..,..,..,..,..,3.1,..,..,..,..,..,..,..
Costa Rica,CRI,2018,YR2018,..,..,..,..,100000,18.8,13.2,17.4,13.3,..,7.5,6.9,..,8.2,..,0.1,0.2,0.1,9,7.7,10.2,3,2.9,3.2,2.6,1.8,1.8,1.8,..
Costa Rica,CRI,2019,YR2019,..,..,..,..,200000,19,13.6,17.6,13.7,..,..,..,..,..,..,..,..,..,..,..,..,3.1,..,..,..,..,..,..,..
Cote d'Ivoire,CIV,2017,YR2017,..,..,..,..,3700000,73.6,50.9,55,51.3,..,..,..,..,..,..,..,..,..,..,..,..,15,..,..,..,..,..,..,94
Cote d'Ivoire,CIV,2018,YR2018,..,..,..,..,3700000,73,50.7,54.7,51.1,..,..,..,..,..,..,..,..,..,..,..,..,14.9,..,..,..,..,..,..,84
Cote d'Ivoire,CIV,2019,YR2019,..,..,..,..,3800000,72.2,50.5,54.4,50.9,..,..,..,..,..,..,..,..,..,..,..,..,14.9,..,..,..,..,..,..,..
Croatia,HRV,2017,YR2017,..,..,..,..,..,19.4,20.5,23.1,20.6,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Croatia,HRV,2018,YR2018,..,..,..,..,..,19.8,20.7,23.2,20.7,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Croatia,HRV,2019,YR2019,..,..,..,..,..,20.2,20.9,23.2,21,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Cuba,CUB,2017,YR2017,..,..,..,..,..,18.9,19.2,22.3,19.3,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Cuba,CUB,2018,YR2018,..,..,..,..,..,18.5,19.2,22.2,19.2,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Cuba,CUB,2019,YR2019,..,..,..,..,..,18.1,19.2,22.1,19.3,..,10.3,8.7,..,11.9,..,0.6,0.6,0.6,7.1,6.5,7.7,2.5,2.4,2.5,2.2,2,2.1,2,..
Curacao,CUW,2017,YR2017,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Curacao,CUW,2018,YR2018,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Curacao,CUW,2019,YR2019,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cyprus,CYP,2017,YR2017,..,..,..,..,..,13.9,12.8,18.3,12.9,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Cyprus,CYP,2018,YR2018,..,..,..,..,..,14.2,13.1,18.4,13.2,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Cyprus,CYP,2019,YR2019,..,..,..,..,..,14.5,13.4,18.5,13.6,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Czech Republic,CZE,2017,YR2017,..,..,..,..,..,17.8,20.7,22.6,20.8,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Czech Republic,CZE,2018,YR2018,..,..,..,..,..,18.2,20.9,22.7,20.9,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Czech Republic,CZE,2019,YR2019,..,..,..,..,..,18.7,21.1,22.7,21.1,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Denmark,DNK,2017,YR2017,..,..,..,..,..,14.1,11.8,16.7,12,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Denmark,DNK,2018,YR2018,..,..,..,..,..,14.2,11.9,16.7,12.1,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Denmark,DNK,2019,YR2019,..,..,..,..,..,14.5,12.1,16.7,12.2,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Djibouti,DJI,2017,YR2017,..,..,..,..,200000,52,31.5,37.1,31.8,..,..,..,..,..,..,..,..,..,..,..,..,16.4,..,..,..,..,..,..,..
Djibouti,DJI,2018,YR2018,..,..,..,..,200000,52,31.7,37.1,32,..,..,..,..,..,..,..,..,..,..,..,..,16,..,..,..,..,..,..,..
Djibouti,DJI,2019,YR2019,..,..,..,..,200000,52,32.1,37,32.3,..,..,..,..,..,..,..,..,..,..,..,..,16.2,..,..,..,..,..,..,..
Dominica,DMA,2017,YR2017,..,..,..,..,100000,29.2,20,23.2,20.1,..,..,..,..,..,..,..,..,..,..,..,..,5.3,..,..,..,..,..,..,..
Dominica,DMA,2018,YR2018,..,..,..,..,100000,29.5,20.3,23.3,20.4,..,..,..,..,..,..,..,..,..,..,..,..,5.5,..,..,..,..,..,..,..
Dominica,DMA,2019,YR2019,..,..,..,..,100000,29.8,20.7,23.4,20.8,..,..,..,..,..,..,..,..,..,..,..,..,5.6,..,..,..,..,..,..,..
Dominican Republic,DOM,2017,YR2017,..,..,..,..,700000,28.2,26.5,27.9,26.6,..,..,..,..,..,..,..,..,..,..,..,..,6.4,..,..,..,..,..,..,..
Dominican Republic,DOM,2018,YR2018,..,..,..,..,700000,28,26.4,27.7,26.5,..,..,..,..,..,..,..,..,..,..,..,..,6.7,..,..,..,..,..,..,..
Dominican Republic,DOM,2019,YR2019,..,..,..,..,900000,27.8,26.4,27.5,26.4,..,..,..,..,..,..,..,..,..,..,..,..,8.3,..,..,..,..,..,..,..
Early-demographic dividend,EAR,2017,YR2017,..,..,18.35972533,..,353500000,44.68751155,38.84893807,40.91137847,38.97805487,..,..,..,..,..,..,..,..,..,..,..,..,11.2944185,..,..,..,..,..,..,..
Early-demographic dividend,EAR,2018,YR2018,..,..,..,..,356900000,44.41884704,38.99235384,40.76728225,39.11709418,..,..,..,..,..,..,..,..,..,..,..,..,11.27700376,..,..,..,..,..,..,..
Early-demographic dividend,EAR,2019,YR2019,..,..,..,..,384500000,44.24635633,39.1722974,40.67086118,39.28879004,..,..,..,..,..,..,..,..,..,..,..,..,12.01731239,..,..,..,..,..,..,..
East Asia & Pacific,EAS,2017,YR2017,..,..,..,..,62600000,23.23090391,18.63281761,26.24402477,18.84656779,..,..,..,..,..,..,..,..,..,..,..,..,4.430424337,5.816477776,..,..,..,..,..,..
East Asia & Pacific,EAS,2018,YR2018,..,..,..,..,61300000,23.35074026,18.88406276,26.18047897,19.10105376,..,..,..,..,..,..,..,..,..,..,..,..,4.348282686,5.5874753,..,..,..,..,..,..
East Asia & Pacific,EAS,2019,YR2019,..,..,..,..,61500000,23.59756471,19.21249649,26.18509329,19.42877438,..,..,..,..,..,..,..,..,..,..,..,..,4.340226085,5.370944023,..,..,..,..,..,..
East Asia & Pacific (excluding high income),EAP,2017,YR2017,..,..,..,..,61400000,23.76677145,18.90119285,26.63581836,19.125936,..,..,..,..,..,..,..,..,..,..,..,..,4.639449977,..,..,..,..,..,..,..
East Asia & Pacific (excluding high income),EAP,2018,YR2018,..,..,..,..,60200000,23.86940195,19.17481575,26.57130663,19.40190778,..,..,..,..,..,..,..,..,..,..,..,..,4.54815378,..,..,..,..,..,..,..
East Asia & Pacific (excluding high income),EAP,2019,YR2019,..,..,..,..,60400000,24.11051193,19.52393221,26.57672805,19.74788605,..,..,..,..,..,..,..,..,..,..,..,..,4.541813434,..,..,..,..,..,..,..
East Asia & Pacific (IDA & IBRD countries),TEA,2017,YR2017,..,..,..,..,50500000,23.67661633,18.72224578,26.49061542,18.94730298,..,..,..,..,..,..,..,..,..,..,..,..,4.163065793,..,..,..,..,..,..,..
East Asia & Pacific (IDA & IBRD countries),TEA,2018,YR2018,..,..,..,..,49300000,23.77714369,18.99413518,26.42196405,19.22284146,..,..,..,..,..,..,..,..,..,..,..,..,4.075233832,..,..,..,..,..,..,..
East Asia & Pacific (IDA & IBRD countries),TEA,2019,YR2019,..,..,..,..,49500000,24.01778026,19.34384255,26.42285362,19.5681007,..,..,..,..,..,..,..,..,..,..,..,..,4.071875476,..,..,..,..,..,..,..
Ecuador,ECU,2017,YR2017,..,..,..,..,1800000,23.7,16.7,22.2,17,..,..,..,..,..,..,..,..,..,..,..,..,10.7,..,..,..,..,..,..,..
Ecuador,ECU,2018,YR2018,..,..,..,..,1900000,23.6,16.8,22.2,17.1,..,..,..,..,..,..,..,..,..,..,..,..,11.2,..,..,..,..,..,..,..
Ecuador,ECU,2019,YR2019,..,..,..,..,2200000,23.5,17,22.3,17.2,..,11.7,11.7,..,11.7,..,1.4,0.9,1.8,23,21.2,24.8,12.4,5.2,4.2,6.1,3.7,3.1,4.4,..
"Egypt, Arab Rep.",EGY,2017,YR2017,..,..,..,..,4700000,33,29,26.4,28.8,..,..,..,..,..,..,..,..,..,..,..,..,4.9,..,..,..,..,..,..,..
"Egypt, Arab Rep.",EGY,2018,YR2018,..,..,..,..,5000000,32.5,28.7,26.2,28.5,..,..,..,..,..,..,..,..,..,..,..,..,5.1,..,..,..,..,..,..,..
"Egypt, Arab Rep.",EGY,2019,YR2019,..,..,..,..,5400000,32.2,28.4,26,28.3,..,..,..,..,..,..,..,..,..,..,..,..,5.4,..,..,..,..,..,..,..
El Salvador,SLV,2017,YR2017,..,..,..,..,600000,24.6,9.9,15.5,10.1,..,..,..,..,..,..,..,..,..,..,..,..,9.1,..,..,..,..,..,..,..
El Salvador,SLV,2018,YR2018,..,..,..,..,600000,24.6,10.1,15.7,10.4,..,..,..,..,..,..,..,..,..,..,..,..,8.6,..,..,..,..,..,..,..
El Salvador,SLV,2019,YR2019,..,..,..,..,500000,24.6,10.4,15.9,10.6,..,..,..,..,..,..,..,..,..,..,..,..,8.5,..,..,..,..,..,..,..
Equatorial Guinea,GNQ,2017,YR2017,..,..,..,..,..,65.7,44.6,49,45,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5
Equatorial Guinea,GNQ,2018,YR2018,..,..,..,..,..,65,44.3,48.5,44.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7
Equatorial Guinea,GNQ,2019,YR2019,..,..,..,..,..,64.3,44.2,48.1,44.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Eritrea,ERI,2017,YR2017,..,..,..,..,..,48.7,36.2,40.9,36.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Eritrea,ERI,2018,YR2018,..,..,..,..,..,48.8,36.4,40.8,36.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36
Eritrea,ERI,2019,YR2019,..,..,..,..,..,48.8,36.7,40.8,37,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Estonia,EST,2017,YR2017,..,..,..,..,..,17.7,21.3,23.1,21.3,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Estonia,EST,2018,YR2018,..,..,..,..,..,17.8,21.4,23.2,21.5,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Estonia,EST,2019,YR2019,..,..,..,..,..,18,21.7,23.3,21.7,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Eswatini,SWZ,2017,YR2017,..,..,..,..,100000,44.2,29.9,32.2,30.1,..,..,..,..,..,..,..,..,..,..,..,..,12.4,..,..,..,..,..,..,33
Eswatini,SWZ,2018,YR2018,..,..,..,..,100000,43.4,30.2,32.2,30.4,..,..,..,..,..,..,..,..,..,..,..,..,11.9,..,..,..,..,..,..,30
Eswatini,SWZ,2019,YR2019,..,..,..,..,100000,42.7,30.6,32.2,30.7,..,..,..,..,..,..,..,..,..,..,..,..,11.6,..,..,..,..,..,..,..
Ethiopia,ETH,2017,YR2017,..,..,..,..,14900000,51.2,22.5,28.5,23,..,..,..,..,..,..,..,..,..,..,..,..,14,..,..,..,..,..,..,77
Ethiopia,ETH,2018,YR2018,..,..,..,..,15700000,51.6,22.9,28.8,23.4,..,..,..,..,..,..,..,..,..,..,..,..,14.4,..,..,..,..,..,..,48
Ethiopia,ETH,2019,YR2019,..,..,..,..,18200000,52.1,23.5,29,23.9,..,2.1,2.2,..,2,..,1.2,0.8,1.7,36.8,33.4,40.2,16.2,21.1,19,23,7.2,5.5,8.8,..
Euro area,EMU,2017,YR2017,..,..,..,..,200000,14.297581,12.01386379,17.39458044,12.1610549,..,..,..,..,..,..,..,..,..,..,..,..,2.531881343,..,..,..,..,..,..,..
Euro area,EMU,2018,YR2018,..,..,..,..,200000,14.73080578,12.31498969,17.54579476,12.47338579,..,..,..,..,..,..,..,..,..,..,..,..,2.525483522,..,..,..,..,..,..,..
Euro area,EMU,2019,YR2019,..,..,..,..,200000,15.19053189,12.66934715,17.68717747,12.79239728,..,..,..,..,..,..,..,..,..,..,..,..,2.523901983,..,..,..,..,..,..,..
Europe & Central Asia,ECS,2017,YR2017,..,..,..,..,2600000,19.31195174,16.68390084,22.63627835,16.83641059,..,..,..,..,..,..,..,..,..,..,..,..,2.605481628,..,..,..,..,..,..,..
Europe & Central Asia,ECS,2018,YR2018,..,..,..,..,2400000,19.5262633,16.97212984,22.73943687,17.10983104,..,..,..,..,..,..,..,..,..,..,..,..,2.59408449,..,..,..,..,..,..,..
Europe & Central Asia,ECS,2019,YR2019,..,..,..,..,2000000,19.82971005,17.31489907,22.82826192,17.43742434,..,..,..,..,..,..,..,..,..,..,..,..,2.600814324,..,..,..,..,..,..,..
Europe & Central Asia (excluding high income),ECA,2017,YR2017,..,..,..,..,2400000,23.94208681,22.34217656,27.61391127,22.49759099,..,..,..,..,..,..,..,..,..,..,..,..,2.709541001,..,..,..,..,..,..,..
Europe & Central Asia (excluding high income),ECA,2018,YR2018,..,..,..,..,2200000,24.0007742,22.6205266,27.71332518,22.73310131,..,..,..,..,..,..,..,..,..,..,..,..,2.689246152,..,..,..,..,..,..,..
Europe & Central Asia (excluding high income),ECA,2019,YR2019,..,..,..,..,1800000,24.18649782,22.94104924,27.79172622,23.05219045,..,..,..,..,..,..,..,..,..,..,..,..,2.705443786,..,..,..,..,..,..,..
Europe & Central Asia (IDA & IBRD countries),TEC,2017,YR2017,..,..,..,..,2400000,23.90698919,22.32194922,27.57902035,22.47675519,..,..,..,..,..,..,..,..,..,..,..,..,2.68965322,..,..,..,..,..,..,..
Europe & Central Asia (IDA & IBRD countries),TEC,2018,YR2018,..,..,..,..,2200000,23.96858129,22.59971591,27.67864729,22.71107077,..,..,..,..,..,..,..,..,..,..,..,..,2.67137368,..,..,..,..,..,..,..
Europe & Central Asia (IDA & IBRD countries),TEC,2019,YR2019,..,..,..,..,1800000,24.15591089,22.91914378,27.75654866,23.03016542,..,..,..,..,..,..,..,..,..,..,..,..,2.686127018,..,..,..,..,..,..,..
European Union,EUU,2017,YR2017,..,..,..,..,400000,15.27432458,13.23047246,18.24100717,13.36852864,..,..,..,..,..,..,..,..,..,..,..,..,2.533896224,..,..,..,..,..,..,..
European Union,EUU,2018,YR2018,..,..,..,..,400000,15.65841187,13.50509195,18.37342812,13.65383159,..,..,..,..,..,..,..,..,..,..,..,..,2.524215661,..,..,..,..,..,..,..
European Union,EUU,2019,YR2019,..,..,..,..,400000,16.08409098,13.84482602,18.49417376,13.96208471,..,..,..,..,..,..,..,..,..,..,..,..,2.526093898,..,..,..,..,..,..,..
Faroe Islands,FRO,2017,YR2017,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Faroe Islands,FRO,2018,YR2018,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Faroe Islands,FRO,2019,YR2019,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Fiji,FJI,2017,YR2017,..,..,..,..,100000,39.9,31.1,42.1,31.7,..,..,..,..,..,..,..,..,..,..,..,..,6.3,..,..,..,..,..,..,..
Fiji,FJI,2018,YR2018,..,..,..,..,100000,39.9,31.2,41.7,31.8,..,..,..,..,..,..,..,..,..,..,..,..,5.8,..,..,..,..,..,..,..
Fiji,FJI,2019,YR2019,..,..,..,..,100000,39.9,31.5,41.4,32,..,..,..,..,..,..,..,..,..,..,..,..,5.6,..,..,..,..,..,..,..
Finland,FIN,2017,YR2017,..,..,..,..,..,11.1,10.2,16,10.4,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Finland,FIN,2018,YR2018,..,..,..,..,..,11.4,10.5,16.1,10.6,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Finland,FIN,2019,YR2019,..,..,..,..,..,11.8,10.7,16.3,10.9,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Fragile and conflict affected situations,FCS,2017,YR2017,..,..,11.76927779,..,157300000,59.74242128,41.13367909,45.63305828,41.36620247,..,..,..,..,..,..,..,..,..,..,..,..,20.29528156,..,..,..,..,..,..,54.40188576
Fragile and conflict affected situations,FCS,2018,YR2018,..,..,..,..,163100000,59.55419917,41.35454511,45.5067401,41.57372028,..,..,..,..,..,..,..,..,..,..,..,..,20.59038795,..,..,..,..,..,..,65.67633875
Fragile and conflict affected situations,FCS,2019,YR2019,..,..,..,..,181700000,59.33117808,41.6279626,45.41102263,41.80911069,..,..,..,..,..,..,..,..,..,..,..,..,22.40496238,..,..,..,..,..,..,..
France,FRA,2017,YR2017,..,..,..,..,..,13.6,9.8,15.8,10,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
France,FRA,2018,YR2018,..,..,..,..,..,14.2,10.1,16,10.3,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
France,FRA,2019,YR2019,..,..,..,..,..,14.7,10.4,16.2,10.6,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
French Polynesia,PYF,2017,YR2017,..,..,..,..,100000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4,..,..,..,..,..,..,..
French Polynesia,PYF,2018,YR2018,..,..,..,..,100000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.9,..,..,..,..,..,..,..
French Polynesia,PYF,2019,YR2019,..,..,..,..,100000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.8,..,..,..,..,..,..,..
Gabon,GAB,2017,YR2017,..,..,..,..,300000,59.4,53.2,53.2,53.2,..,..,..,..,..,..,..,..,..,..,..,..,16,..,..,..,..,..,..,0
Gabon,GAB,2018,YR2018,..,..,..,..,300000,58.6,52.8,52.8,52.8,..,..,..,..,..,..,..,..,..,..,..,..,16.2,..,..,..,..,..,..,0
Gabon,GAB,2019,YR2019,..,..,..,..,300000,57.9,52.4,52.5,52.4,..,..,..,..,..,..,..,..,..,..,..,..,15.7,..,..,..,..,..,..,..
"Gambia, The",GMB,2017,YR2017,..,..,..,..,300000,58.3,51.2,56.2,51.7,..,..,..,..,..,..,..,..,..,..,..,..,11.9,..,..,..,..,..,..,32
"Gambia, The",GMB,2018,YR2018,..,..,13.7,..,300000,55.3,50.1,55.7,50.6,..,2.5,2.1,..,2.9,..,1.3,1.1,1.5,13.6,12.6,14.5,12.4,10.3,8.6,11.8,6,5.6,6.4,30
"Gambia, The",GMB,2019,YR2019,..,..,..,..,300000,52.3,48.9,55.1,49.5,..,..,..,..,..,..,..,..,..,..,..,..,13.6,..,..,..,..,..,..,..
Georgia,GEO,2017,YR2017,..,..,..,..,300000,23.9,26.9,27.7,26.9,..,..,..,..,..,..,..,..,..,..,..,..,8.3,..,..,..,..,..,..,..
Georgia,GEO,2018,YR2018,..,..,30.4,..,300000,24.2,27.2,27.8,27.2,..,6,4.8,..,7.2,..,0.1,0.1,0,5.8,6.4,5.1,8.1,2.1,3.1,1,0.6,0.6,0.7,..
Georgia,GEO,2019,YR2019,..,..,..,..,300000,24.6,27.5,28,27.5,..,..,..,..,..,..,..,..,..,..,..,..,8.7,..,..,..,..,..,..,..
Germany,DEU,2017,YR2017,..,..,..,..,..,14,10.7,16,10.9,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Germany,DEU,2018,YR2018,..,..,..,..,..,14.5,11.1,16.3,11.3,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Germany,DEU,2019,YR2019,..,..,..,..,..,15.1,11.6,16.5,11.7,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Ghana,GHA,2017,YR2017,..,..,..,..,2100000,62.6,36.9,49,37.8,..,1.4,1.3,..,1.5,..,1.1,1,1.3,17.5,15.6,19.5,7.1,12.6,11,14.1,6.8,5.9,7.8,50
Ghana,GHA,2018,YR2018,..,..,13,..,1900000,61,35.6,48.1,36.6,..,..,..,..,..,..,..,..,..,..,..,..,6.4,..,..,..,..,..,..,45
Ghana,GHA,2019,YR2019,..,..,..,..,1800000,59.5,34.5,47.2,35.4,..,..,..,..,..,..,..,..,..,..,..,..,6.1,..,..,..,..,..,..,..
